Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
242,OR-Sandy,462.725,+,5,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10194: Sandy,,,,
243,OR-Sherwood700,462.7,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4623: Sherwood,,,,
244,OR-Shutters Landing,462.7,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5720: Hauser,,,,
245,OR-Sisters 675,462.675,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9270: Sisters,,,,
246,OR-Skyway-Rhododendron,462.65,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10816: Rhododendron,,,,
247,OR-SoapCreek550,462.55,+,5,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/9833: Corvallis,,,,
248,OR-Stayton 575,462.575,+,5,TSQL,171.3,171.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10494: Stayton,,,,
249,OR-Sweet Home 725,462.725,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/2680: Sweet Home,,,,
250,OR-Tillamook,462.7,+,5,Tone,100,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/11050: Tillamook,,,,
251,OR-Tualatin CERT - WRPP345,462.575,+,5,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/11027: Tualatin,,,,
252,OR-WRPX794,462.625,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10984: Gaston,,,,
