Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
187,OR-Board Corral Mountain,462.675,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8663: Adrian,,,,
188,OR-Boardman 625,462.625,+,5,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/6648: Boardman,,,,
189,OR-Brightwood,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10421: Brightwood,,,,
190,OR-Brooks 600,462.6,+,5,TSQL,179.9,179.9,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10123: Brooks,,,,
191,OR-Brownsville/Central Valley 725,462.725,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7942: Brownsville,,,,
192,OR-Bunker Hill,462.625,+,5,TSQL,192.8,192.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10938: St Helens,,,,
193,OR-CH550 - Chiloquin,462.55,+,5,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10327: Chiloquin,,,,
194,OR-COMMANDO,462.55,+,5,TSQL,173.8,173.8,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/8419: St Helens,,,,
195,OR-CP650,462.65,+,5,Tone,141.3,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/2390: Central Point,,,,
196,OR-Cooper Mountain,462.65,+,5,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10072: Beaverton,,,,
197,OR-Crescent Butte,462.55,+,5,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,S,5.0W,https://mygmrs.com/repeater/10743: Crescent,,,,
198,OR-Deschutes River Woods 600,462.6,+,5,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5012: Bend,,,,
